Block Substitution
CSQN=Frameshift
CSQN=Unclassified
Chromosome Arm
Coding Sequence Variant
Complex
Copy Number Variant
Deletion
Frame Shift
Fusion
Gain of Function
In Frame
Insertion
Intergenic
Intron Variant
Loss of Function
Microsatellite
Missense
Non Sense
Parent Mutation
Protein Altering Variant
Regulatory Region Variant
Snp
Splice Acceptor Variant
Splice Site
Synonymous
Transcript Ablation
Transcript Amplification
Unclassified
Unknown
Wild Type
domain
hotspot
